م,E,N,نوع الحادث,جسامة الحادث,عدد المصابين
4213,21.8844,39.3534,صدم سياج طريق,اصابة,null
4212,22.31136,39.35362,انقلاب مركبة,اصابة,null
4211,22.2212,39.19519,صدم مركبة متحركة,اصابة,null
4210,19.525944,41.052776,صدم مركبة متحركة,اصابة,null
4209,21.466305,39.976563,صدم مركبة متحركة,اصابة,null
4208,21.3254152,39.6828817,دهس مشاه,اصابة,null
4207,21.40217,39.863541,دهس مشاه,اصابة,null
4206,22.17272,39.14149,صدم مركبة متحركة,اصابة,null
4205,18.905957,41.265086,صدم لوحة,اصابة,null
4204,21.46792,39.96122,دهس مشاه,اصابة,null
4203,21.387651,39.817543,دهس مشاه,اصابة,null
4202,21.354591,39.827953,دهس مشاه,اصابة,null
4201,21.414114,39.831409,دهس مشاه,اصابة,null
4200,21.386019,39.789925,صدم مركبة متحركة,اصابة,null
4199,21.56205,39.2712,انقلاب مركبة,اصابة,null
4198,19.125611,41.113303,دهس مشاه,اصابة,null
4197,21.393549,39.809128,دهس مشاه,اصابة,null
4196,19.460987,41.615593,صدم جمل,اصابة,null
4195,21.210171,39.966675,دهس مشاه,اصابة,null
4194,21.4843,39.42563,دهس مشاه,اصابة,null
4193,21.24055,39.42546,انقلاب مركبة,وفاة,null
4192,21.37314,39.834587,صدم مركبة متحركة,اصابة,null
4191,19.284157,41.819984,صدم مركبة متحركة,اصابة,null
4190,19.654816,40.943306,انقلاب مركبة,اصابة,null
4189,20.335574,40.963286,انقلاب مركبة,اصابة,null
4188,21.6154298,39.6927137,صدم مركبة متحركة,اصابة,null
4187,21.353339,39.894349,دهس مشاه,اصابة,null
4186,21.16321,39.492,انقلاب مركبة,اصابة,null
4185,21.260208,39.826649,صدم مركبة متحركة,اصابة,null
4184,21.3532896,39.8164329,صدم مركبة متحركة,وفاة,null
4183,19.559849,41.809402,انقلاب مركبة,اصابة,null
4182,19.125612,41.113953,صدم مركبة متحركة,اصابة,null
4181,21.3889126,39.8406989,دهس مشاه,اصابة,null
4180,18.882805,41.258728,انقلاب مركبة,وفاة,null
4179,19.398993,41.461529,انقلاب مركبة,اصابة,null
4178,21.394121,39.88345,دهس مشاه,اصابة,null
4177,21.4245,39.794611,دهس مشاه,اصابة,null
4176,21.384917,39.873972,دهس مشاه,اصابة,null
4175,21.350283,39.792877,صدم مركبة متحركة,اصابة,null
4174,22.3089103,39.8442042,صدم جسم ثابت اخر,اصابة,null
4173,22.435359,39.407558,انقلاب مركبة,وفاة,null
4172,21.291695,39.911732,صدم مركبة متحركة,اصابة,null
4171,21.424688,39.791405,دهس مشاه,اصابة,null
4170,21.423569,39.808723,دهس مشاه,اصابة,null
