grid_id,lat_grid,lon_grid,accident_count,avg_severity,latitude,longitude,predicted_count,risk_level
21.263026_39.926835,21.26302551203737,39.92683525603263,1,3.0,21.263241,39.930397,1.0007192075796727,Low
21.263026_39.955782,21.26302551203737,39.95578172915204,1,2.0,21.264071,39.959404,1.1999504293215155,Medium
21.263026_40.086041,21.26302551203737,40.08604085818936,1,2.0,21.266893,40.086197,1.0587302044800484,Low
21.267517_39.482989,21.267517067912326,39.48298933486842,2,2.5,21.27041,39.48357,2.257634407062638,High
21.267517_39.565004,21.267517067912326,39.56500434204007,1,3.0,21.27166,39.56552,1.006894151025058,Low
21.267517_39.820698,21.267517067912326,39.820698187928144,1,3.0,21.271435,39.822998,1.050387848453158,Low
21.267517_39.936484,21.267517067912326,39.93648408040577,1,3.0,21.271702,39.937855,1.0007192075796727,Low
21.272009_39.482989,21.27200862378728,39.48298933486842,1,2.0,21.27234,39.4849,1.1178323128867718,Medium
21.272009_39.492638,21.27200862378728,39.49263815924156,1,2.0,21.27317,39.49264,1.127719358974893,Medium
21.272009_39.511936,21.27200862378728,39.511935807987825,1,3.0,21.2748,39.51314,1.0681466913988245,Low
21.272009_39.521585,21.27200862378728,39.52158463236096,1,2.0,21.27313,39.52575,1.16671546622808,Medium
21.272009_39.531233,21.27200862378728,39.5312334567341,1,2.0,21.27486,39.53548,1.2537090521734249,Medium
21.272009_39.550531,21.27200862378728,39.55053110548037,2,2.0,21.274397999999998,39.552279999999996,1.4372190299275098,Medium
21.272009_39.569829,21.27200862378728,39.569828754226634,1,3.0,21.27357,39.57424,1.006894151025058,Low
21.272009_39.647019,21.27200862378728,39.64701934921172,1,3.0,21.27329,39.6505,1.006894151025058,Low
21.272009_39.772454,21.27200862378728,39.77245406606247,1,3.0,21.274265,39.772945,1.016703746667704,Low
21.272009_39.820698,21.27200862378728,39.820698187928144,1,2.0,21.2721306,39.8250536,1.2796011320209575,Medium
21.272009_39.936484,21.27200862378728,39.93648408040577,1,3.0,21.275606,39.939587,1.0007192075796727,Low
21.272009_40.00885,21.27200862378728,40.00885026320428,1,3.0,21.27336,40.013438,1.0003488372093023,Low
21.2765_39.478165,21.276500179662236,39.478164922681856,2,2.5,21.280235,39.48013,2.1159677403959716,High
21.2765_39.531233,21.276500179662236,39.5312334567341,1,3.0,21.28072,39.53313,1.0314254010250579,Low
21.2765_39.820698,21.276500179662236,39.820698187928144,5,2.2,21.27898574,39.82374598,6.840826923076922,High
21.280992_39.121158,21.28099173553719,39.12115842087586,1,2.0,21.2846389,39.1223889,1.1005035727271575,Low
21.280992_39.468516,21.28099173553719,39.46851609830872,1,2.0,21.28291,39.47292,1.2712251831882029,Medium
21.280992_39.473341,21.28099173553719,39.47334051049529,2,3.0,21.28447,39.47451,1.4083640437784357,Medium
21.280992_39.478165,21.28099173553719,39.478164922681856,1,3.0,21.2827,39.48024,1.1966317403099405,Medium
21.280992_39.531233,21.28099173553719,39.5312334567341,1,3.0,21.28385,39.53234,1.0359125805122373,Low
21.280992_39.540882,21.28099173553719,39.54088228110723,2,2.5,21.282564999999998,39.54336000000001,2.201084785186929,High
21.280992_39.56018,21.28099173553719,39.560179929853504,2,2.0,21.282384999999998,39.560967500000004,1.7323581846679141,High
21.280992_39.579478,21.28099173553719,39.57947757859977,1,2.0,21.28154,39.581,1.3559760268615082,Medium
21.280992_39.820698,21.28099173553719,39.820698187928144,5,2.0,21.28285688,39.82302772,3.3268383143131657,High
21.280992_39.922011,21.28099173553719,39.92201084384607,1,2.0,21.283848,39.925701,1.295357160703902,Medium
21.280992_40.00885,21.28099173553719,40.00885026320428,1,3.0,21.28459,40.01284,1.0003488372093023,Low
21.285483_39.468516,21.285483291412145,39.46851609830872,1,2.0,21.28587,39.47216,1.0474254707383133,Low
21.285483_39.666317,21.285483291412145,39.666316997957985,1,2.0,21.28725,39.669333,1.0902711757858432,Low
21.285483_39.820698,21.285483291412145,39.820698187928144,1,2.0,21.288139,39.822899,1.6708415770684257,High
21.285483_39.835171,21.285483291412145,39.83517142448785,1,3.0,21.28578,39.83555893431,1.0475028783034817,Low
21.289975_39.35273,21.2899748472871,39.3527302058311,2,2.5,21.29276,39.35387,3.3848166800519737,High
21.289975_39.473341,21.2899748472871,39.47334051049529,1,3.0,21.29024,39.47404,1.1056121396565721,Low
21.289975_39.487814,21.2899748472871,39.48781374705499,1,2.0,21.29106,39.49078,1.0921068769530313,Low
21.289975_39.569829,21.2899748472871,39.569828754226634,1,3.0,21.29235,39.57165,1.0040688305122374,Low
21.289975_39.593951,21.2899748472871,39.593950815159474,1,3.0,21.29044,39.59542,1.0040688305122374,Low
21.289975_39.598775,21.2899748472871,39.598775227346046,1,2.0,21.2927581,39.6030269,1.1480336323058395,Medium
21.289975_39.651844,21.2899748472871,39.65184376139828,1,3.0,21.29291,39.65314,1.0040688305122374,Low
21.289975_39.907538,21.2899748472871,39.907537607286365,3,2.0,21.2929486,39.9108492,1.98990834995572,High
21.289975_39.960606,21.2899748472871,39.9606061413386,1,2.0,21.291878,39.962803,1.142807114053159,Medium
21.294466_39.347906,21.294466403162055,39.347905793644536,1,2.0,21.2961,39.35204,1.1567298693063952,Medium
21.294466_39.362379,21.294466403162055,39.36237903020424,1,2.0,21.29528,39.3624,1.3817298693063949,Medium
21.294466_39.473341,21.294466403162055,39.47334051049529,1,2.0,21.2952,39.47354,1.107096384132911,Low
21.294466_39.574653,21.294466403162055,39.574653166413206,1,3.0,21.29497,39.57592,1.0040688305122374,Low
21.294466_39.68079,21.294466403162055,39.68079023451769,1,2.0,21.297081,39.68383,1.1854771986795214,Medium
21.294466_39.685615,21.294466403162055,39.68561464670426,1,2.0,21.294889,39.688881,1.0725883097906326,Low
21.294466_39.690439,21.294466403162055,39.690439058890824,1,2.0,21.298222,39.69125,1.098025091399828,Low
21.294466_39.815874,21.294466403162055,39.81587377574158,1,2.0,21.2955989,39.8197183,1.2881195171905946,Medium
